1,1,1759.84,0.00,160.16,195.50,1,-1,-1,-1
2,1,1717.02,5.44,206.90,273.33,1,-1,-1,-1
3,1,1692.51,80.43,244.82,382.43,1,-1,-1,-1
4,2,415.73,0.96,149.49,117.32,1,-1,-1,-1
4,1,1693.14,156.59,242.22,408.75,1,-1,-1,-1
5,2,439.61,192.58,326.23,272.91,1,-1,-1,-1
5,1,1681.91,243.90,248.92,437.23,1,-1,-1,-1
6,2,440.25,311.82,364.96,308.06,1,-1,-1,-1
6,1,1672.01,327.16,255.35,456.13,1,-1,-1,-1
7,2,438.75,407.55,373.14,317.89,1,-1,-1,-1
7,1,1667.75,421.32,257.33,454.34,1,-1,-1,-1
8,4,346.27,92.97,232.89,356.77,1,-1,-1,-1
8,2,424.24,551.55,371.34,334.97,1,-1,-1,-1
8,1,1658.09,592.09,264.20,458.79,1,-1,-1,-1
9,6,981.31,457.49,302.86,346.97,1,-1,-1,-1
9,5,503.38,64.94,438.52,391.38,1,-1,-1,-1
9,4,331.31,145.36,229.06,329.64,1,-1,-1,-1
9,1,1663.75,716.14,259.86,419.70,1,-1,-1,-1
10,6,981.26,549.16,303.45,352.63,1,-1,-1,-1
10,5,496.95,146.56,440.80,424.61,1,-1,-1,-1
10,1,1667.53,829.00,257.89,342.05,1,-1,-1,-1
11,6,983.65,638.36,291.67,337.99,1,-1,-1,-1
11,5,482.48,226.43,451.97,435.85,1,-1,-1,-1
11,2,395.73,817.84,348.20,315.84,1,-1,-1,-1
12,6,980.11,752.05,291.09,331.92,1,-1,-1,-1
12,5,472.06,311.23,455.98,440.26,1,-1,-1,-1
12,2,389.62,893.35,314.05,261.99,1,-1,-1,-1
13,5,461.61,472.73,462.46,452.16,1,-1,-1,-1
13,4,147.43,-3.03,261.69,259.23,1,-1,-1,-1
14,5,463.17,598.16,457.13,457.22,1,-1,-1,-1
14,2,298.56,724.68,278.49,255.57,1,-1,-1,-1
15,8,356.63,826.21,176.35,264.31,1,-1,-1,-1
15,6,1006.29,83.30,439.09,427.73,1,-1,-1,-1
15,5,482.46,702.88,429.48,424.18,1,-1,-1,-1
15,4,80.30,-6.32,380.28,355.26,1,-1,-1,-1
16,6,967.99,12.76,527.07,519.31,1,-1,-1,-1
16,5,499.83,751.67,412.02,394.81,1,-1,-1,-1
16,4,55.10,2.21,438.26,414.04,1,-1,-1,-1
16,2,317.41,854.88,243.75,240.94,1,-1,-1,-1
17,6,948.13,43.24,566.79,580.36,1,-1,-1,-1
17,5,567.09,819.68,357.21,340.47,1,-1,-1,-1
17,4,47.20,39.22,471.59,459.84,1,-1,-1,-1
17,2,313.30,864.40,235.09,243.25,1,-1,-1,-1
18,6,945.16,197.89,569.12,572.51,1,-1,-1,-1
18,4,44.15,174.43,488.84,484.64,1,-1,-1,-1
19,9,1806.61,772.05,110.24,324.74,1,-1,-1,-1
19,8,1765.05,911.26,116.47,187.17,1,-1,-1,-1
19,6,938.56,329.27,572.31,567.61,1,-1,-1,-1
19,4,39.69,288.97,498.43,501.82,1,-1,-1,-1
20,10,951.90,513.54,375.82,563.85,1,-1,-1,-1
20,9,1832.73,893.23,86.96,225.77,1,-1,-1,-1
20,6,935.48,449.95,571.16,571.37,1,-1,-1,-1
20,4,33.02,385.07,507.56,515.16,1,-1,-1,-1
21,10,970.04,610.46,346.18,493.27,1,-1,-1,-1
21,6,930.40,557.47,561.02,539.91,1,-1,-1,-1
21,4,31.83,493.52,510.15,523.68,1,-1,-1,-1
22,10,988.28,745.73,293.82,370.20,1,-1,-1,-1
22,4,30.47,573.34,514.12,519.74,1,-1,-1,-1
23,4,36.61,707.53,511.63,443.36,1,-1,-1,-1
24,12,1208.50,-4.09,309.90,227.87,1,-1,-1,-1
24,11,340.71,20.39,590.02,304.41,1,-1,-1,-1
24,8,370.88,57.62,179.21,169.34,1,-1,-1,-1
24,6,161.68,773.23,440.10,433.42,1,-1,-1,-1
24,4,-26.95,218.44,523.26,342.57,1,-1,-1,-1
25,12,1192.06,7.67,377.59,294.50,1,-1,-1,-1
25,8,380.05,-0.84,387.65,361.24,1,-1,-1,-1
25,4,-32.67,57.59,500.62,321.58,1,-1,-1,-1
26,11,-34.23,23.69,516.70,318.69,1,-1,-1,-1
26,8,396.96,50.53,462.36,412.00,1,-1,-1,-1
27,13,12.47,-16.27,361.24,507.47,1,-1,-1,-1
27,8,393.29,141.13,512.78,437.09,1,-1,-1,-1
28,13,1.47,173.43,392.77,540.16,1,-1,-1,-1
28,8,377.61,346.29,531.11,460.02,1,-1,-1,-1
29,12,1143.88,452.70,391.69,331.47,1,-1,-1,-1
29,8,366.18,496.13,531.74,469.48,1,-1,-1,-1
29,4,-50.39,333.95,482.87,387.64,1,-1,-1,-1
30,13,-4.51,432.30,402.39,544.98,1,-1,-1,-1
30,8,353.15,623.52,528.07,447.24,1,-1,-1,-1
30,4,-56.81,452.13,418.65,415.14,1,-1,-1,-1
31,12,1118.13,652.82,398.23,354.30,1,-1,-1,-1
31,8,342.42,734.80,525.39,389.68,1,-1,-1,-1
