seq,HOTA(0),LocA(0),HOTALocA(0),HOTA___5,HOTA___10,HOTA___15,HOTA___20,HOTA___25,HOTA___30,HOTA___35,HOTA___40,HOTA___45,HOTA___50,HOTA___55,HOTA___60,HOTA___65,HOTA___70,HOTA___75,HOTA___80,HOTA___85,HOTA___90,HOTA___95,HOTA___AUC,DetA___5,DetA___10,DetA___15,DetA___20,DetA___25,DetA___30,DetA___35,DetA___40,DetA___45,DetA___50,DetA___55,DetA___60,DetA___65,DetA___70,DetA___75,DetA___80,DetA___85,DetA___90,DetA___95,DetA___AUC,AssA___5,AssA___10,AssA___15,AssA___20,AssA___25,AssA___30,AssA___35,AssA___40,AssA___45,AssA___50,AssA___55,AssA___60,AssA___65,AssA___70,AssA___75,AssA___80,AssA___85,AssA___90,AssA___95,AssA___AUC,DetRe___5,DetRe___10,DetRe___15,DetRe___20,DetRe___25,DetRe___30,DetRe___35,DetRe___40,DetRe___45,DetRe___50,DetRe___55,DetRe___60,DetRe___65,DetRe___70,DetRe___75,DetRe___80,DetRe___85,DetRe___90,DetRe___95,DetRe___AUC,DetPr___5,DetPr___10,DetPr___15,DetPr___20,DetPr___25,DetPr___30,DetPr___35,DetPr___40,DetPr___45,DetPr___50,DetPr___55,DetPr___60,DetPr___65,DetPr___70,DetPr___75,DetPr___80,DetPr___85,DetPr___90,DetPr___95,DetPr___AUC,AssRe___5,AssRe___10,AssRe___15,AssRe___20,AssRe___25,AssRe___30,AssRe___35,AssRe___40,AssRe___45,AssRe___50,AssRe___55,AssRe___60,AssRe___65,AssRe___70,AssRe___75,AssRe___80,AssRe___85,AssRe___90,AssRe___95,AssRe___AUC,AssPr___5,AssPr___10,AssPr___15,AssPr___20,AssPr___25,AssPr___30,AssPr___35,AssPr___40,AssPr___45,AssPr___50,AssPr___55,AssPr___60,AssPr___65,AssPr___70,AssPr___75,AssPr___80,AssPr___85,AssPr___90,AssPr___95,AssPr___AUC,LocA___5,LocA___10,LocA___15,LocA___20,LocA___25,LocA___30,LocA___35,LocA___40,LocA___45,LocA___50,LocA___55,LocA___60,LocA___65,LocA___70,LocA___75,LocA___80,LocA___85,LocA___90,LocA___95,LocA___AUC,OWTA___5,OWTA___10,OWTA___15,OWTA___20,OWTA___25,OWTA___30,OWTA___35,OWTA___40,OWTA___45,OWTA___50,OWTA___55,OWTA___60,OWTA___65,OWTA___70,OWTA___75,OWTA___80,OWTA___85,OWTA___90,OWTA___95,OWTA___AUC,HOTA_TP___5,HOTA_TP___10,HOTA_TP___15,HOTA_TP___20,HOTA_TP___25,HOTA_TP___30,HOTA_TP___35,HOTA_TP___40,HOTA_TP___45,HOTA_TP___50,HOTA_TP___55,HOTA_TP___60,HOTA_TP___65,HOTA_TP___70,HOTA_TP___75,HOTA_TP___80,HOTA_TP___85,HOTA_TP___90,HOTA_TP___95,HOTA_TP___AUC,HOTA_FN___5,HOTA_FN___10,HOTA_FN___15,HOTA_FN___20,HOTA_FN___25,HOTA_FN___30,HOTA_FN___35,HOTA_FN___40,HOTA_FN___45,HOTA_FN___50,HOTA_FN___55,HOTA_FN___60,HOTA_FN___65,HOTA_FN___70,HOTA_FN___75,HOTA_FN___80,HOTA_FN___85,HOTA_FN___90,HOTA_FN___95,HOTA_FN___AUC,HOTA_FP___5,HOTA_FP___10,HOTA_FP___15,HOTA_FP___20,HOTA_FP___25,HOTA_FP___30,HOTA_FP___35,HOTA_FP___40,HOTA_FP___45,HOTA_FP___50,HOTA_FP___55,HOTA_FP___60,HOTA_FP___65,HOTA_FP___70,HOTA_FP___75,HOTA_FP___80,HOTA_FP___85,HOTA_FP___90,HOTA_FP___95,HOTA_FP___AUC,MOTA,MOTP,MODA,CLR_Re,CLR_Pr,MTR,PTR,MLR,sMOTA,CLR_F1,FP_per_frame,MOTAL,MOTP_sum,CLR_TP,CLR_FN,CLR_FP,IDSW,MT,PT,ML,Frag,CLR_Frames,IDF1,IDR,IDP,IDTP,IDFN,IDFP,STDA,ATA,FDA,SFDA,VACE_IDs,VACE_GT_IDs,num_non_empty_timesteps,Dets,GT_Dets,IDs,GT_IDs
DJI_20240308110228_0006_V_2,0.3632215084418403,0.6158055449658052,0.22367381894932928,0.3632215084418403,0.35687655608659635,0.34967633985053415,0.34668173724812396,0.342413539187578,0.3390606797113657,0.330889338963096,0.32043025975929745,0.30737324349641626,0.29499321747314955,0.27806473143776844,0.2492105365669265,0.22070342396445783,0.19072191236895641,0.16110942019678798,0.10835971045952544,0.06564465021077875,0.02525664729592352,0.009898813921639965,0.24529401403372428,0.6231276213301378,0.5982300884955752,0.575,0.5604838709677419,0.5427107061503417,0.5287810383747178,0.504164353137146,0.4698860553445469,0.4348516949152542,0.40435458786936235,0.3640483383685801,0.3131362094037809,0.2524271844660194,0.18555798687089717,0.13919259882253995,0.07971303308090873,0.03872699386503067,0.01082089552238806,0.0011086474501108647,0.34875378444395155,0.2117220609048695,0.2128961393508571,0.21264963939350653,0.21443654878749327,0.21603965149433269,0.21740973329846605,0.21716679086522228,0.21851159488894245,0.21726559174598492,0.2152096228552633,0.21238936350061238,0.19833506848098645,0.1929665438081703,0.19602954564806666,0.18647719415913375,0.1473012178441916,0.11127174281365,0.05895059529138704,0.08838383838383838,0.18660065702710393,0.7008086253369272,0.683288409703504,0.6664420485175202,0.6556603773584906,0.6421832884097035,0.6314016172506739,0.6118598382749326,0.5835579514824798,0.5532345013477089,0.5256064690026954,0.4871967654986523,0.4353099730458221,0.36792452830188677,0.2857142857142857,0.22304582210242588,0.1347708894878706,0.06805929919137467,0.01954177897574124,0.0020215633423180594,0.4356646332813165,0.8489795918367347,0.8277551020408164,0.8073469387755102,0.7942857142857143,0.7779591836734694,0.7648979591836734,0.7412244897959184,0.7069387755102041,0.6702040816326531,0.636734693877551,0.590204081632653,0.5273469387755102,0.44571428571428573,0.3461224489795918,0.2702040816326531,0.16326530612244897,0.08244897959183674,0.0236734693877551,0.0024489795918367346,0.5277765843179377,0.3722773733619322,0.372808550301589,0.37309539335873126,0.3754108237180602,0.37736695575409235,0.38047538325333546,0.3796845385258834,0.37842813696213373,0.37368025037384506,0.369942037077218,0.36405371075556575,0.3428837360862493,0.325255360048508,0.3163986057489803,0.2953747987691474,0.23733314928535518,0.17993169468853804,0.11333476361366829,0.11666666666666665,0.31812641728155255,0.39497254049617614,0.3978234908744681,0.3990249600791899,0.40164835822974154,0.403530519405321,0.40541498679565474,0.40658027936104574,0.41335024628191025,0.41412707684655764,0.41508420690845854,0.4120476755141947,0.40014109989725144,0.4048169444568751,0.4177348312583507,0.40759157025907056,0.3617831195332853,0.31498215506105814,0.2371667879099508,0.48148148148148145,0.394173806876318,0.6158055449658052,0.6295691252987277,0.6423910507807659,0.6500851450576953,0.6590315497517236,0.6655542160324956,0.6764526838402692,0.6910388210037983,0.7054864283976447,0.717334471844212,0.7323448832021261,0.7505694457777082,0.7735190156602638,0.8019406488318519,0.8237828098005935,0.8562186410668998,0.8866548626904559,0.9209319030899813,0.960778112312871,0.7452362820739942,0.38519689310305033,0.3814045942159883,0.3764553908418904,0.37496339621016367,0.3724742324289251,0.3705035184862475,0.3645211071220445,0.3570912750104107,0.3466970165859592,0.33632658230410023,0.32167594085323803,0.293831981435819,0.2664528562591635,0.23666102681627435,0.20394351932478186,0.14089682803920142,0.08702342693608371,0.03394111818536121,0.01336688175043572,0.2770225045215337,1040.0,1014.0,989.0,973.0,953.0,937.0,908.0,866.0,821.0,780.0,723.0,646.0,546.0,424.0,331.0,200.0,101.0,29.0,3.0,646.5263157894736,444.0,470.0,495.0,511.0,531.0,547.0,576.0,618.0,663.0,704.0,761.0,838.0,938.0,1060.0,1153.0,1284.0,1383.0,1455.0,1481.0,837.4736842105264,185.0,211.0,236.0,252.0,272.0,288.0,317.0,359.0,404.0,445.0,502.0,579.0,679.0,801.0,894.0,1025.0,1124.0,1196.0,1222.0,578.4736842105264,0.07008086253369272,0.7159632721727335,0.23517520215633422,0.5303234501347709,0.6424489795918368,0.11666666666666667,0.725,0.15833333333333333,-0.08055047493265416,0.5810262089331857,2.92,0.23356525196471392,563.4630951999412,787,697,438,245,14,87,19,146.0,150,0.29752676264304173,0.2715633423180593,0.3289795918367347,403,1081,822,24.97509347066488,0.16217593162769403,69.99104023099753,0.47612952538093556,188,120,147,1225,1484,188,120
DJI_20240308110454_0007_V_1,0.5167295929572913,0.7076056102512789,0.36564075895943904,0.5167295929572913,0.5155303183189421,0.5138527999113288,0.512957102725225,0.5106879017296032,0.5075383497060054,0.5058186049555156,0.499950609235372,0.4904752065731517,0.47518060015787666,0.4680839529452905,0.44161993776340464,0.41067697757241833,0.3545493795534227,0.26172016356936617,0.1661510168889012,0.1018327520754068,0.041562498915678786,0.004712160720444283,0.3841910487512971,0.6267056530214425,0.6219630709426628,0.6141199226305609,0.609450337512054,0.6017274472168906,0.5895238095238096,0.5834914611005693,0.5700846660395108,0.5525581395348838,0.5200364298724954,0.5022502250225023,0.46919014084507044,0.4120135363790186,0.3298804780876494,0.22720588235294117,0.12314939434724091,0.05366161616161616,0.012742718446601941,0.0005995203836930455,0.4221239183905901,0.42605243937168097,0.4273107544845384,0.4299562516156226,0.4317414775917699,0.43342236452607685,0.4369546611363654,0.4384853561293946,0.43844471981903177,0.43536763111565485,0.4341938175788215,0.43624188917998497,0.41566979450779407,0.4093447545200731,0.38106305432332077,0.30147742351305845,0.224168056688737,0.1932463115538589,0.1355630137599447,0.037037037037037035,0.36135477939225086,0.6884368308351178,0.6852248394004282,0.6798715203426124,0.6766595289079229,0.671306209850107,0.6627408993576017,0.658458244111349,0.6488222698072805,0.6359743040685225,0.6113490364025695,0.5974304068522484,0.5706638115631691,0.5214132762312634,0.44325481798715205,0.33083511777301927,0.19593147751605997,0.09100642398286937,0.022483940042826552,0.0010706638115631692,0.49436492730756215,0.8748299319727891,0.8707482993197279,0.8639455782312925,0.8598639455782313,0.8530612244897959,0.8421768707482993,0.8367346938775511,0.8244897959183674,0.8081632653061225,0.7768707482993197,0.7591836734693878,0.7251700680272108,0.6625850340136055,0.563265306122449,0.4204081632653061,0.24897959183673468,0.11564625850340136,0.02857142857142857,0.0013605442176870747,0.6282133906194057,0.5430494611757221,0.5442603701083166,0.5474110314532902,0.5496449297723326,0.5489003448979821,0.5520249098246167,0.553914417154242,0.5502296266310536,0.5469966530940044,0.5460655549778023,0.542630642605259,0.5177298424921262,0.5047160608431674,0.4750766665125372,0.38701551442391263,0.2926976668856078,0.23771970294825878,0.18705148726157128,0.0625,0.45734920437167387,0.6780704981299969,0.6790700742796364,0.6806382247386384,0.6818279631472078,0.6848701308273736,0.6893177005858107,0.6901493062264772,0.6909992903274733,0.6887662102615572,0.6867270821936555,0.6890653677289349,0.6750323202227223,0.6696411997650992,0.6467482798295596,0.5678428650545007,0.4822755023396557,0.4930343657276431,0.3347697276268705,0.08333333333333333,0.6048515495971656,0.7076056102512789,0.7105897435713222,0.7152399034119629,0.7178346420555994,0.7218130020769853,0.7276130810404335,0.7301152106330571,0.7353631423393857,0.7415534848536174,0.7520832852277106,0.7573843769744464,0.7656271640508286,0.7787388073689399,0.7968560511746153,0.8208032352334325,0.8523449278783314,0.8861545079096631,0.9179880378099552,0.9555767017532488,0.7784886797692007,0.541581195325882,0.54111361387027,0.5406616413864813,0.540501604842444,0.5394062706293579,0.5381335569354608,0.5373307153564746,0.533359820663313,0.5261963760923671,0.5152125503020725,0.5105136328628177,0.48703974097140884,0.46199327869828755,0.41098422693056214,0.3158153240643163,0.20957475649258936,0.1326146890898446,0.05520861050056836,0.0062971592994842,0.4180809875954738,643.0,640.0,635.0,632.0,627.0,619.0,615.0,606.0,594.0,571.0,558.0,533.0,487.0,414.0,309.0,183.0,85.0,21.0,1.0,461.7368421052632,291.0,294.0,299.0,302.0,307.0,315.0,319.0,328.0,340.0,363.0,376.0,401.0,447.0,520.0,625.0,751.0,849.0,913.0,933.0,472.2631578947368,92.0,95.0,100.0,103.0,108.0,116.0,120.0,129.0,141.0,164.0,177.0,202.0,248.0,321.0,426.0,552.0,650.0,714.0,734.0,273.2631578947368,0.3511777301927195,0.7505269234420611,0.45074946466809424,0.6188436830835118,0.7863945578231293,0.3114754098360656,0.5245901639344263,0.16393442622950818,0.19679289266542968,0.6926303175554224,0.5607142857142857,0.44864188121139836,433.8045617495113,578,356,157,93,19,32,10,48.0,280,0.4865188735769922,0.4346895074946467,0.5523809523809524,406,528,329,22.868436502931747,0.2584004124625056,83.43632162566085,0.5525584213619924,116,61,151,735,934,116,61
DJI_20240308111117_0010_V_1,0.4756056099677047,0.6191532837339488,0.29447277517379206,0.4756056099677047,0.4707095890853059,0.4685306572733872,0.45923511021898855,0.4482964232549028,0.4439736341811015,0.42551974848500707,0.4128484682482457,0.39493432041365734,0.3700099782464986,0.344456382952609,0.31489353854899405,0.26827229725200136,0.22123790699647966,0.1526059765512339,0.11851710797295543,0.056609019121746346,0.03845936699826898,0.009454600463289994,0.3102194598017041,0.6631016042780749,0.6476821192052981,0.6411609498680739,0.6197916666666666,0.5907928388746803,0.5786802030456852,0.5472636815920398,0.5152253349573691,0.47568208778173193,0.4431554524361949,0.39149888143176736,0.33763440860215055,0.2824742268041237,0.20894071914480078,0.11170688114387846,0.06689536878216124,0.025556471558120363,0.008103727714748784,0.0008045052292839903,0.3766395331114132,0.341125243512296,0.3420929969916716,0.34238045353542057,0.34027060672190373,0.34016946360747763,0.34062438426360514,0.33085889387726797,0.33081420141931817,0.3278936109786124,0.3089376047374396,0.3030665102359263,0.2936843464220169,0.25478439674700804,0.2342588447695641,0.2084794046766023,0.20997424990680158,0.1253921551196301,0.1825237670825906,0.1111111111111111,0.2772864339850665,0.7136690647482015,0.7035971223021583,0.6992805755395683,0.6848920863309352,0.6647482014388489,0.6561151079136691,0.6330935251798561,0.6086330935251798,0.576978417266187,0.5496402877697841,0.5035971223021583,0.45179856115107914,0.3942446043165468,0.30935251798561153,0.17985611510791366,0.11223021582733812,0.04460431654676259,0.014388489208633094,0.0014388489208633094,0.44748201438848917,0.9034608378870674,0.8907103825136612,0.8852459016393442,0.8670309653916212,0.8415300546448088,0.8306010928961749,0.8014571948998178,0.7704918032786885,0.7304189435336976,0.6958105646630237,0.6375227686703097,0.5719489981785064,0.4990892531876138,0.39162112932604737,0.22768670309653916,0.14207650273224043,0.056466302367941715,0.018214936247723135,0.0018214936247723133,0.5664845173041895,0.5532614763609781,0.5524455355382818,0.5522328242644147,0.5464750386648557,0.542397491948676,0.5445274400092511,0.5333478783545629,0.5294335375374174,0.522883533023624,0.49779768147877174,0.48338919530516167,0.4650508784126243,0.4085609913916054,0.3709913296917401,0.31142403478874064,0.30368070843183964,0.18262048409107232,0.2311111111111111,0.125,0.4345595352844594,0.5485227397946917,0.5524903837686369,0.5517368589554262,0.5519074178762714,0.5541563667128471,0.5522122436140395,0.5440548993347132,0.5462757836347482,0.546218653135247,0.5324389666857602,0.5255336253731406,0.5218777688275507,0.49076717049720586,0.4679814816586827,0.47417062831769075,0.4815367111281456,0.3784245560136902,0.5199999999999999,0.5,0.5179108555436047,0.6191532837339488,0.6269183005367567,0.6300438068107583,0.63961262445492,0.6523045416445868,0.657299818676071,0.669435594970585,0.6815108885136774,0.6959484439994889,0.706747105282493,0.7232057049346603,0.7403107630347567,0.7565305910020251,0.7787049176334053,0.818746655095556,0.8459235215233323,0.8851207559023063,0.9179615841404596,0.957319108941135,0.7369893689911011,0.49340706673032436,0.49060742783111333,0.48930563107504427,0.4827511219612626,0.47552816858466834,0.4727460255138507,0.45767305302133254,0.4487142417974958,0.43495693659733103,0.4120734812758449,0.39067047805147764,0.36426112219953194,0.3169343365455284,0.26919985789347134,0.19363960288418353,0.15351044063914276,0.07478657218670166,0.051246865786962185,0.01264405403018136,0.34129770971607626,496.0,489.0,486.0,476.0,462.0,456.0,440.0,423.0,401.0,382.0,350.0,314.0,274.0,215.0,125.0,78.0,31.0,10.0,1.0,311.0,199.0,206.0,209.0,219.0,233.0,239.0,255.0,272.0,294.0,313.0,345.0,381.0,421.0,480.0,570.0,617.0,664.0,685.0,694.0,384.0,53.0,60.0,63.0,73.0,87.0,93.0,109.0,126.0,148.0,167.0,199.0,235.0,275.0,334.0,424.0,471.0,518.0,539.0,548.0,238.0,0.22014388489208633,0.7074855605940399,0.31510791366906477,0.5525179856115108,0.6994535519125683,0.0625,0.8,0.1375,0.05852439606922494,0.617363344051447,1.114864864864865,0.31248986484094693,271.67445526811133,384,311,165,66,5,64,11,43.0,148,0.38102893890675243,0.3410071942446043,0.43169398907103823,237,458,312,21.997750056960584,0.24997443246546117,73.797202888524,0.49862974924678377,96,80,148,549,695,96,80
DJI_20240308111117_0010_V_2,0.4797693383623949,0.6851895860686249,0.3287329543609474,0.4797693383623949,0.47838852402267273,0.4754231697555455,0.4722254867920895,0.4685169300712442,0.4654071350777083,0.46297268192967866,0.458085797315031,0.44898701791036144,0.4396694829928006,0.42008218423850624,0.3949119277955196,0.35812751708056445,0.31316924090076204,0.2562037977987906,0.19043876050499192,0.10652228401902625,0.04060029672318822,0.0026934685444275114,0.35432605483343704,0.6604683195592287,0.6547700754975978,0.6457337883959045,0.6323628977657414,0.6192075218267293,0.609479305740988,0.5977468522200132,0.5820209973753281,0.5564880568108457,0.5269157694743508,0.480958230958231,0.4207424867413082,0.3439241917502787,0.2749867794817557,0.2055,0.13995271867612294,0.07155555555555555,0.018588931136459652,0.0008302200083022001,0.42327540520919693,0.34850818913812937,0.34952052404452155,0.3500315368379503,0.3526407244383193,0.3544984613814289,0.3553915602071171,0.358586086094964,0.36054128398812113,0.3622527739540705,0.3668693659861446,0.36691136600991,0.37066717916477554,0.3729174090301138,0.3566534130520497,0.3194179367714043,0.25913695600730835,0.15857604492806035,0.08867557160281515,0.00873837383738374,0.3084491977091888,0.7971737323358271,0.7930174563591023,0.7863674147963424,0.7763923524522028,0.7664172901080631,0.7589359933499584,0.7497921862011637,0.7373233582709892,0.7165419783873649,0.6916043225270158,0.6508728179551122,0.5935162094763092,0.512884455527847,0.4322527015793849,0.341645885286783,0.2460515378221114,0.13383208645054032,0.03657522859517872,0.0016625103906899418,0.5538347114669467,0.7938741721854304,0.7897350993377483,0.7831125827814569,0.7731788079470199,0.7632450331125827,0.7557947019867549,0.7466887417218543,0.734271523178808,0.7135761589403974,0.6887417218543046,0.6481788079470199,0.5910596026490066,0.5107615894039735,0.4304635761589404,0.3402317880794702,0.24503311258278146,0.13327814569536423,0.03642384105960265,0.0016556291390728477,0.5515423492506099,0.47074164572906163,0.4705021004422805,0.4698592181706407,0.4704481534273887,0.46924927978106235,0.46980835756585876,0.4727370432166426,0.4704219657246356,0.4716481586401719,0.47343759172757316,0.47256599667899035,0.4707381437555803,0.47356595839246374,0.45496108085704856,0.4184675508597587,0.361531341518914,0.2502612837777418,0.1489885903047163,0.015058876811594204,0.4092101230201118,0.5733188326702259,0.5753357407754511,0.57520386814335,0.5796640587767699,0.58242268023796,0.5841186742473233,0.5895188591612723,0.5945146121070392,0.6006402379957427,0.607718887371662,0.6108763725336332,0.6062467162672716,0.5896473115008666,0.5764609340932079,0.5466902716631814,0.4852336331165274,0.3279314754161734,0.1747836814389374,0.020970394736842105,0.5158577495922861,0.6851895860686249,0.6883829296266235,0.6931309598336821,0.6997667549357122,0.7059440471461152,0.7101708133836903,0.7148959369908806,0.7205266726904197,0.7290688771853236,0.7380375853128622,0.7513805132609696,0.7681835747968512,0.7905791043081566,0.8119401858406209,0.8352195813344687,0.8584770295469141,0.8864060314211597,0.9186170483866984,0.9559638570507583,0.7716779520589754,0.5270878236924498,0.526474953747172,0.5246459708417188,0.5232471324499693,0.5212425060558977,0.5193452096380402,0.5185219816309254,0.5155923877497183,0.5094794591790336,0.503714640762767,0.48868459637544304,0.46903835573986224,0.43733687506002206,0.39263774820979286,0.33034500720420173,0.2525094979048096,0.1456796586823189,0.056950235312780775,0.0038115137809515537,0.4087550291588355,959.0,954.0,946.0,934.0,922.0,913.0,902.0,887.0,862.0,832.0,783.0,714.0,617.0,520.0,411.0,296.0,161.0,44.0,2.0,666.2631578947369,244.0,249.0,257.0,269.0,281.0,290.0,301.0,316.0,341.0,371.0,420.0,489.0,586.0,683.0,792.0,907.0,1042.0,1159.0,1201.0,536.7368421052631,249.0,254.0,262.0,274.0,286.0,295.0,306.0,321.0,346.0,376.0,425.0,494.0,591.0,688.0,797.0,912.0,1047.0,1164.0,1206.0,541.7368421052631,0.26433915211970077,0.7367703225617245,0.38902743142144636,0.6965918536990856,0.6937086092715232,0.2413793103448276,0.6206896551724138,0.13793103448275862,0.08097550316436,0.6951472418083783,1.6818181818181819,0.38721854425681157,617.4135303067251,838,365,370,150,14,36,8,86.0,220,0.40149315636665284,0.4023275145469659,0.40066225165562913,484,719,724,14.162557929907528,0.15147120780649764,79.43679693822406,0.5124954641175746,129,58,155,1208,1203,129,58
COMBINED,0.4514328874753194,0.6563495907991905,0.2962977909677229,0.4514328874753194,0.44786582514602147,0.44393518710755847,0.44030738140781744,0.43555881164376525,0.4321607738144663,0.4255479310481493,0.417358788009062,0.40554758381362027,0.3917206554480876,0.37504116452991837,0.348245986305092,0.3145959831008727,0.271648464518211,0.21338510483355852,0.1499337990316129,0.08635312683675693,0.036012906302119535,0.007326159660548311,0.320735711580661,0.6410623084780388,0.6274311183144247,0.61402451275869,0.6008369868473495,0.5847307161175774,0.5726311667971808,0.5543730650154799,0.5298038468863073,0.500093370681606,0.4690929041697147,0.42961381028652784,0.3788190868520426,0.3149451628744475,0.2434984520123839,0.17150357299110397,0.10404068169323805,0.04937949052906597,0.01311640812208349,0.000872165462247695,0.38946678036260585,0.31789679286890377,0.3196905468644736,0.32096186106119556,0.3226675360640948,0.32444247098929874,0.32614874155123924,0.32665916338179923,0.32877896027390097,0.32887627067101755,0.3271101961695075,0.3274007299675675,0.3201403286866944,0.3142471904629922,0.3030528024521025,0.2654941944981555,0.2160707112467252,0.15101132949307647,0.09887839782460418,0.06153948728206154,0.2790035637794427,0.727062094531974,0.7175625579240037,0.7080630213160334,0.6985634847080631,0.6867469879518072,0.677710843373494,0.6638090824837812,0.6445783132530121,0.6204819277108434,0.5943002780352178,0.5593141797961075,0.5113531047265987,0.4457831325301205,0.3644578313253012,0.27247451343836887,0.17539388322520852,0.08758109360519,0.024096385542168676,0.0016218721037998146,0.4832081361884786,0.8442292171105731,0.8331988162496637,0.8221684153887544,0.8111380145278451,0.7974172719935432,0.7869249394673123,0.7707828894269573,0.7484530535377993,0.720473500134517,0.6900726392251816,0.6494484799569545,0.5937584073177293,0.517621737960721,0.4231907452246435,0.3163841807909605,0.20365886467581382,0.1016949152542373,0.027979553403282217,0.0018832391713747645,0.5610778358325191,0.46596819705596365,0.4666966023814302,0.4677582859903652,0.4683817647759334,0.46795772682966014,0.47023876799714887,0.46998003734337873,0.46814255583166986,0.465998695662833,0.46176101811102793,0.45783103778229683,0.4438540598201489,0.4301050188079823,0.41142889173753805,0.36417943886184545,0.30611714034929893,0.22310205716715345,0.15462883136353853,0.08108825051759834,0.39711675675720065,0.531756154200932,0.535045515546762,0.5363638517484622,0.5392481880839742,0.5421700774705697,0.54416089981742,0.5461594707364239,0.5518030196387582,0.5548584854540527,0.555516820619243,0.5570264760414013,0.5505270285632162,0.5433617005568223,0.5373484174113562,0.5053888480024422,0.45152187543632966,0.36573875006995993,0.25767772223909713,0.29567408103592313,0.500070914877534,0.6563495907991905,0.6640106208475393,0.6712713566758723,0.6780239131909697,0.6858565887058636,0.6913269974434442,0.698997447964791,0.708646997758679,0.7196489267718668,0.7302086195328351,0.7429820925921079,0.7584448538329663,0.7778918248606368,0.800732164157216,0.8264616407708658,0.8551044721794201,0.8863105523699355,0.9190724995580563,0.9581654088192162,0.7594477141490249,0.48076055169726883,0.4789550778018699,0.4767192308583817,0.4747670569817357,0.4720274247493915,0.47014310449255137,0.46566009011873855,0.4603518085621367,0.45173198071899456,0.44091005945849426,0.4279250760897951,0.4046044377192803,0.37428077288765726,0.3323401377485846,0.26896171003805835,0.19467275386349234,0.11500320597173506,0.04881200667636596,0.009990454329254455,0.36045352319809404,3138.0,3097.0,3056.0,3015.0,2964.0,2925.0,2865.0,2782.0,2678.0,2565.0,2414.0,2207.0,1924.0,1573.0,1176.0,757.0,378.0,104.0,7.0,2085.5263157894738,1178.0,1219.0,1260.0,1301.0,1352.0,1391.0,1451.0,1534.0,1638.0,1751.0,1902.0,2109.0,2392.0,2743.0,3140.0,3559.0,3938.0,4212.0,4309.0,2230.4736842105262,579.0,620.0,661.0,702.0,753.0,792.0,852.0,935.0,1039.0,1152.0,1303.0,1510.0,1793.0,2144.0,2541.0,2960.0,3339.0,3613.0,3710.0,1631.4736842105262,0.2092215013901761,0.7291672371566637,0.33758109360519,0.5993975903614458,0.6959913909066452,0.16300940438871472,0.6865203761755486,0.15047021943573669,0.04688499595094738,0.6440931158969252,1.4160401002506267,0.3369454333260592,1886.355642524289,2587,1729,1130,554,52,219,48,323.0,798,0.3809286692393875,0.35449490268767375,0.4116222760290557,1530,2786,2187,84.00383796046475,0.19812225934071875,306.6613616834064,0.510251849722806,529,319,601,3717,4316,529,319
